mappingId,mappingVersion,jsonPath,xmlXPath,rdfSubjectType,rdfProperty,rdfConstruct,rdfMappingStatus,rdfMappingReason,datatype,cardinality,obligation,controlledVocabulary,unitRule,source,semanticMeaning,notes
dpp.dppId,2.0.0,dppId,/dpp:dpp/dpp:dppId,s4c:DigitalProductPassport,,rdf:subject,subjectIdentifier,,xsd:anyURI,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,Stable passport identifier,The JSON identifier becomes the RDF resource IRI; the complete value also remains in the reversible rdf:JSON snapshot.
dpp.schemaVersion,2.0.0,schemaVersion,/dpp:dpp/dpp:schemaVersion,s4c:DigitalProductPassport,s4c:schemaVersion,,direct,,xsd:string,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,Payload schema release,
dpp.recordVersion,2.0.0,recordVersion,/dpp:dpp/dpp:recordVersion,s4c:DigitalProductPassport,s4c:recordVersion,,direct,,xsd:integer,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,Monotonic record version,
dpp.status,2.0.0,status,/dpp:dpp/dpp:status,s4c:DigitalProductPassport,s4c:passportStatus,,direct,,xsd:string,1,mandatory,passport-status,,spec/schemas/dpp-2.0.0.schema.json,Passport lifecycle status,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.supersededBy,2.0.0,supersededBy,/dpp:dpp/dpp:supersededBy,s4c:DigitalProductPassport,s4c:supersededBy,,direct,,xsd:anyURI,0..1,optional,,,spec/schemas/dpp-2.0.0.schema.json,Schema-defined superseded by field at supersededBy.,
dpp.createdAt,2.0.0,createdAt,/dpp:dpp/dpp:createdAt,s4c:DigitalProductPassport,s4c:createdAt,,direct,,xsd:dateTime,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,Creation timestamp with offset,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.updatedAt,2.0.0,updatedAt,/dpp:dpp/dpp:updatedAt,s4c:DigitalProductPassport,s4c:updatedAt,,direct,,xsd:dateTime,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,Last update timestamp with offset,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.responsibleOperatorId,2.0.0,responsibleOperatorId,/dpp:dpp/dpp:responsibleOperatorId,s4c:DigitalProductPassport,s4c:responsibleOperator,,direct,,xsd:anyURI,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,Responsible operator organisation,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.registryIdentifier,2.0.0,registryIdentifier,/dpp:dpp/dpp:registryIdentifier,s4c:DigitalProductPassport,s4c:registryIdentifier,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-2.0.0.schema.json,Schema-defined registry identifier field at registryIdentifier.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.accessPolicyVersion,2.0.0,accessPolicyVersion,/dpp:dpp/dpp:accessPolicyVersion,s4c:DigitalProductPassport,,rdf:value/rdf:JSON,notApplicable,"transport-layer/interface-only: selects an access-control interface profile, not a product semantic fact",xsd:string,0..1,optional,,,spec/schemas/dpp-2.0.0.schema.json,Schema-defined access policy version field at accessPolicyVersion.,Preserved only in the canonical rdf:JSON transport snapshot; not counted as semantic RDF coverage.
dpp.identity,2.0.0,identity,/dpp:dpp/dpp:identity,s4c:TextileEntity,s4c:describes,,direct,,object,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,Declared identity block,
dpp.identity.granularity,2.0.0,identity.granularity,/dpp:dpp/dpp:identity/dpp:granularity,s4c:TextileEntity,s4c:granularity,,direct,,xsd:string,1,mandatory,,,spec/schemas/dpp-2.0.0.schema.json,"Model, batch or item granularity",Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.modelId,2.0.0,identity.modelId,/dpp:dpp/dpp:identity/dpp:modelId,s4c:TextileEntity,s4c:modelIdentifier,,direct,,xsd:string,0..1,conditional,,,spec/schemas/dpp-2.0.0.schema.json,Schema-defined model id field at identity.modelId.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.batchId,2.0.0,identity.batchId,/dpp:dpp/dpp:identity/dpp:batchId,s4c:TextileEntity,s4c:batchIdentifier,,direct,,xsd:string,0..1,conditional,,,spec/schemas/dpp-2.0.0.schema.json,Schema-defined batch id field at identity.batchId.,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.itemId,2.0.0,identity.itemId,/dpp:dpp/dpp:identity/dpp:itemId,s4c:TextileEntity,s4c:itemIdentifier,,direct,,xsd:string,0..1,conditional,,,spec/schemas/dpp-2.0.0.schema.json,Physical item identifier,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.epc,2.0.0,identity.epc,/dpp:dpp/dpp:identity/dpp:epc,s4c:TextileEntity,s4c:epc,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-2.0.0.schema.json,Encoded carrier identifier,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
dpp.identity.sampleId,2.0.0,identity.sampleId,/dpp:dpp/dpp:identity/dpp:sampleId,s4c:TextileEntity,s4c:sampleIdentifier,,direct,,xsd:string,0..1,optional,,,spec/schemas/dpp-2.0.0.schema.json,Source sample identifier,Direct ontology-backed semantic mapping; the canonical rdf:JSON snapshot remains only for lossless reversal.
